Timestamp,FileName,ProcessCommandLine,InitiatingProcessFileName,InitiatingProcessCommandLine,InitiatingProcessParentFileName
"Sep 16, 2025 2:46:49 PM",backgroundTaskHost.exe,"""BackgroundTaskHost.exe"" -ServerName:BackgroundTaskHost.WebAccountProvider",svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:46:50 PM",RuntimeBroker.exe,RuntimeBroker.exe -Embedding,svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:46:51 PM",svchost.exe,svchost.exe -k DevicesFlow,services.exe,services.exe,wininit.exe
"Sep 16, 2025 2:46:54 PM",OneDrive.exe,updateInstalled /background,onedrivesetup.exe,OneDriveSetup.exe /update /restart /updateSource:ODU  /peruser  /childprocess  /extractFilesWithLessThreadCount  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2  /SetPerProcessSystemDPIForceOffKey /EnableNucleusAutoStartFix /RegisterOneDriveLauncherAutoStartTask /EnableOneDriveLauncherRampDownloads /ReLaunchOD4AppHarness,svchost.exe
"Sep 16, 2025 2:47:02 PM",FileCoAuth.exe,"""FileCoAuth.exe"" -Embedding",svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:47:04 PM",OneDrive.Sync.Service.exe,silentConfig,onedrivesetup.exe,OneDriveSetup.exe /update /restart /updateSource:ODU  /peruser  /childprocess  /extractFilesWithLessThreadCount  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2  /SetPerProcessSystemDPIForceOffKey /EnableNucleusAutoStartFix /RegisterOneDriveLauncherAutoStartTask /EnableOneDriveLauncherRampDownloads /ReLaunchOD4AppHarness,svchost.exe
"Sep 16, 2025 2:47:16 PM",RuntimeBroker.exe,RuntimeBroker.exe -Embedding,svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:47:44 PM",PhoneExperienceHost.exe,"""PhoneExperienceHost.exe"" -ComServer:Background -Embedding",svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:48:51 PM",backgroundTaskHost.exe,"""backgroundTaskHost.exe"" -ServerName:App.AppXe9cvj1thv1hmcw0cs98xm3r97tyzy2xs.mca",svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:48:51 PM",HxTsr.exe,"""HxTsr.exe"" -ServerName:Hx.IPC.Server",svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:48:51 PM",backgroundTaskHost.exe,"""backgroundTaskHost.exe"" -ServerName:App.AppXapskvk16gk8da8kch5g4qxh42vxccved.mca",svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:48:51 PM",taskhostw.exe,taskhostw.exe Logon,svchost.exe,svchost.exe -k netsvcs -p,services.exe
"Sep 16, 2025 2:48:54 PM",backgroundTaskHost.exe,"""backgroundTaskHost.exe"" -ServerName:App.AppXapskvk16gk8da8kch5g4qxh42vxccved.mca",svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:48:59 PM",RuntimeBroker.exe,RuntimeBroker.exe -Embedding,svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:48:59 PM",backgroundTaskHost.exe,"""backgroundTaskHost.exe"" -ServerName:WindowsBackup.AppXnn6fnh4raxtmg45ba8k2f4ykb7n0k3y4.mca",svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:48:59 PM",backgroundTaskHost.exe,"""backgroundTaskHost.exe"" -ServerName:Global.RulesEngine.AppXgphnekvm0vv49drvfehh4b6kyf6ckafp.mca",svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:48:59 PM",backgroundTaskHost.exe,"""backgroundTaskHost.exe"" -ServerName:App.AppXpybpk6fj2fe0gb0jan49e6dncngk3pa1.mca",svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:48:59 PM",RuntimeBroker.exe,RuntimeBroker.exe -Embedding,svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:49:01 PM",backgroundTaskHost.exe,"""backgroundTaskHost.exe"" -ServerName:App.AppXmtcan0h2tfbfy7k9kn8hbxb6dmzz1zh0.mca",svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:49:03 PM",backgroundTaskHost.exe,"""backgroundTaskHost.exe"" -ServerName:ShellFeedsUI.AppXnj65k2d1a1rnztt2t2nng5ctmk3e76pn.mca",svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:49:16 PM",BackgroundTransferHost.exe,"""BackgroundTransferHost.exe"" -ServerName:BackgroundTransferHost.1",svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:49:21 PM",WindowsPackageManagerServer.exe,"""WindowsPackageManagerServer.exe"" -Embedding",svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:51:34 PM",SearchApp.exe,"""SearchApp.exe"" -ServerName:ShellFeedsUI.AppX88fpyyrd21w8wqe62wzsjh5agex7tf1e.mca",svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:51:37 PM",msedgewebview2.exe,"""msedgewebview2.exe"" --embedded-browser-webview=1 --webview-exe-name=SearchApp.exe --webview-exe-version=10.0.19041.6282 --user-data-dir=""C:\Users\SLFlare\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\EBWebView"" --noerrdialogs --enable-features=msEmbeddedBrowserVisualHosting --lang=en-US --mojo-named-platform-channel-pipe=2220.6380.10211842261493070152",searchapp.exe,"""SearchApp.exe"" -ServerName:ShellFeedsUI.AppX88fpyyrd21w8wqe62wzsjh5agex7tf1e.mca",svchost.exe
"Sep 16, 2025 2:51:37 PM",msedgewebview2.exe,"""msedgewebview2.exe"" --type=crashpad-handler --user-data-dir=C:\Users\SLFlare\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\EBWebView /prefetch:4 --monitor-self-annotation=ptype=crashpad-handler --database=C:\Users\SLFlare\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\EBWebView\Crashpad --annotation=IsOfficialBuild=1 --annotation=channel= --annotation=chromium-version=140.0.7339.81 ""--annotation=exe=C:\Program Files (x86)\Microsoft\EdgeWebView\Application\140.0.3485.54\msedgewebview2.exe"" --annotation=plat=Win64 ""--annotation=prod=Edge WebView2"" --annotation=ver=140.0.3485.54 --initial-client-data=0x170,0x174,0x178,0x14c,0x180,0x7ffe25ea2200,0x7ffe25ea220c,0x7ffe25ea2218",msedgewebview2.exe,"""msedgewebview2.exe"" --embedded-browser-webview=1 --webview-exe-name=SearchApp.exe --webview-exe-version=10.0.19041.6282 --user-data-dir=""C:\Users\SLFlare\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\EBWebView"" --noerrdialogs --enable-features=msEmbeddedBrowserVisualHosting --lang=en-US --mojo-named-platform-channel-pipe=2220.6380.10211842261493070152",SearchApp.exe
