Timestamp,DeviceId,DeviceName,ActionType,LogonType,AccountDomain,AccountName,AccountSid,Protocol,FailureReason,IsLocalAdmin,LogonId,RemoteDeviceName,RemoteIP,RemoteIPType,RemotePort,InitiatingProcessAccountDomain,InitiatingProcessAccountName,InitiatingProcessAccountSid,InitiatingProcessAccountUpn,InitiatingProcessAccountObjectId,InitiatingProcessIntegrityLevel,InitiatingProcessTokenElevation,InitiatingProcessSHA1,InitiatingProcessSHA256,InitiatingProcessMD5,InitiatingProcessFileName,InitiatingProcessFileSize,InitiatingProcessVersionInfoCompanyName,InitiatingProcessVersionInfoProductName,InitiatingProcessVersionInfoProductVersion,InitiatingProcessVersionInfoInternalFileName,InitiatingProcessVersionInfoOriginalFileName,InitiatingProcessVersionInfoFileDescription,InitiatingProcessId,InitiatingProcessCommandLine,InitiatingProcessCreationTime,InitiatingProcessFolderPath,InitiatingProcessParentId,InitiatingProcessParentFileName,InitiatingProcessParentCreationTime,ReportId,AppGuardContainerId,AdditionalFields,InitiatingProcessSessionId,IsInitiatingProcessRemoteSession,InitiatingProcessRemoteSessionDeviceName,InitiatingProcessRemoteSessionIP,InitiatingProcessUniqueId
"Sep 21, 2025 12:05:49 AM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonFailed,Network,,administrator,,NTLM,InvalidUserNameOrPassword,,,workstation,80.94.95.198,Public,0,,,,,,,None,,,,,,,,,,,,0,,Invalid date,,0,,Invalid date,9988,,"{""IsLocalLogon"":false}",0,0,,,0
"Sep 20, 2025 10:43:06 PM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonFailed,Network,,administrator,,NTLM,InvalidUserNameOrPassword,,,workstation,80.94.95.198,Public,0,,,,,,,None,,,,,,,,,,,,0,,Invalid date,,0,,Invalid date,9092,,"{""IsLocalLogon"":false}",0,0,,,0
"Sep 20, 2025 9:43:39 PM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonFailed,Network,,administrator,,NTLM,InvalidUserNameOrPassword,,,workstation,80.94.95.198,Public,0,,,,,,,None,,,,,,,,,,,,0,,Invalid date,,0,,Invalid date,8707,,"{""IsLocalLogon"":false}",0,0,,,0
"Sep 20, 2025 8:54:29 PM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonFailed,Network,,administrator,,NTLM,InvalidUserNameOrPassword,,,workstation,80.94.95.198,Public,0,,,,,,,None,,,,,,,,,,,,0,,Invalid date,,0,,Invalid date,8375,,"{""IsLocalLogon"":false}",0,0,,,0
"Sep 20, 2025 7:42:02 PM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonSuccess,RemoteInteractive,slflarewinsysmo,slflare,S-1-5-21-415952123-3427508315-3774372505-500,Negotiate,,,4274889,,159.26.106.84,Public,0,nt authority,system,S-1-5-18,,,System,TokenElevationTypeDefault,bd4068a70beeae18195edbdcd2837f2f43d254e6,b0b36bff7ae4057f687d839cd4b3d81159ab646f1ee1b22106a927e93decbb61,3d1034d6ed3daed60816a25c561e8c83,svchost.exe,57480,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.19041.5794,svchost.exe,svchost.exe,Host Process for Windows Services,712,svchost.exe -k netsvcs -p,"Sep 20, 2025 7:32:07 PM",c:\windows\system32\svchost.exe,720,services.exe,"Sep 20, 2025 7:32:06 PM",2452,,"{""IsLocalLogon"":false}",0,0,,,14073748835532819
"Sep 20, 2025 7:42:02 PM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonAttempted,Unknown,slflarewinsysmo,slflare,,,,,,,159.26.106.84,Public,0,workgroup,slflarewinsysmo$,S-1-5-18,,,System,TokenElevationTypeDefault,bd4068a70beeae18195edbdcd2837f2f43d254e6,b0b36bff7ae4057f687d839cd4b3d81159ab646f1ee1b22106a927e93decbb61,3d1034d6ed3daed60816a25c561e8c83,svchost.exe,57480,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.19041.5794,svchost.exe,svchost.exe,Host Process for Windows Services,712,svchost.exe -k netsvcs -p,"Sep 20, 2025 7:32:07 PM",c:\windows\system32\svchost.exe,720,services.exe,"Sep 20, 2025 7:32:06 PM",2451,,,0,0,,,14073748835532819
"Sep 20, 2025 7:42:02 PM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonSuccess,RemoteInteractive,slflarewinsysmo,slflare,S-1-5-21-415952123-3427508315-3774372505-500,,,1,,,,,,nt authority,system,S-1-5-18,,,System,TokenElevationTypeDefault,5874c705ebb39053378b2aa653a707e31541ad1f,055a1226a769948a79ed0972bdee2d91937c4b521e0b9046f9b8ccc63d110115,ab99fc696eabb46c10e79e3a17d0fde9,lsass.exe,61072,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.19041.6328,lsass.exe,lsass.exe,Local Security Authority Process,740,lsass.exe,"Sep 20, 2025 7:32:06 PM",c:\windows\system32\lsass.exe,636,wininit.exe,"Sep 20, 2025 7:32:05 PM",2706,,"{""IsLocalLogon"":false}",0,0,,,14073748835532812
"Sep 20, 2025 7:41:53 PM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonSuccess,Interactive,window manager,dwm-2,S-1-5-90-0-2,Negotiate,,,4185500,,,,,nt authority,system,S-1-5-18,,,System,TokenElevationTypeDefault,df0e853110c9f2dccee9974bf255c73b8772b935,888ac24eeaea44fcf0aa54cab7df82c1ddd3a5cee500715763e5ca01e0b049ff,969130f8c1e0648a40c4ad95ad9103df,winlogon.exe,945152,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.19041.6280,winlogon,WINLOGON.EXE,Windows Logon Application,3172,winlogon.exe,"Sep 20, 2025 7:41:51 PM",c:\windows\system32\winlogon.exe,4672,smss.exe,"Sep 20, 2025 7:41:51 PM",2432,,"{""IsLocalLogon"":true}",2,0,,,14073748835533053
"Sep 20, 2025 7:41:53 PM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonSuccess,Interactive,window manager,dwm-2,S-1-5-90-0-2,Negotiate,,,4183749,,,,,nt authority,system,S-1-5-18,,,System,TokenElevationTypeDefault,df0e853110c9f2dccee9974bf255c73b8772b935,888ac24eeaea44fcf0aa54cab7df82c1ddd3a5cee500715763e5ca01e0b049ff,969130f8c1e0648a40c4ad95ad9103df,winlogon.exe,945152,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.19041.6280,winlogon,WINLOGON.EXE,Windows Logon Application,3172,winlogon.exe,"Sep 20, 2025 7:41:51 PM",c:\windows\system32\winlogon.exe,4672,smss.exe,"Sep 20, 2025 7:41:51 PM",2431,,"{""IsLocalLogon"":true}",2,0,,,14073748835533053
"Sep 20, 2025 7:41:53 PM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonAttempted,Unknown,window manager,dwm-2,,,,,,,-,,,workgroup,slflarewinsysmo$,S-1-5-18,,,System,TokenElevationTypeDefault,df0e853110c9f2dccee9974bf255c73b8772b935,888ac24eeaea44fcf0aa54cab7df82c1ddd3a5cee500715763e5ca01e0b049ff,969130f8c1e0648a40c4ad95ad9103df,winlogon.exe,945152,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.19041.6280,winlogon,WINLOGON.EXE,Windows Logon Application,3172,winlogon.exe,"Sep 20, 2025 7:41:51 PM",c:\windows\system32\winlogon.exe,4672,smss.exe,"Sep 20, 2025 7:41:51 PM",2430,,,2,0,,,14073748835533053
"Sep 20, 2025 7:41:52 PM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonSuccess,Interactive,font driver host,umfd-2,S-1-5-96-0-2,Negotiate,,,4176518,,,,,nt authority,system,S-1-5-18,,,System,TokenElevationTypeDefault,df0e853110c9f2dccee9974bf255c73b8772b935,888ac24eeaea44fcf0aa54cab7df82c1ddd3a5cee500715763e5ca01e0b049ff,969130f8c1e0648a40c4ad95ad9103df,winlogon.exe,945152,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.19041.6280,winlogon,WINLOGON.EXE,Windows Logon Application,3172,winlogon.exe,"Sep 20, 2025 7:41:51 PM",c:\windows\system32\winlogon.exe,4672,smss.exe,"Sep 20, 2025 7:41:51 PM",2429,,"{""IsLocalLogon"":true}",2,0,,,14073748835533053
